shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
37cbb5a5-e7d4-4969-be0f-fa4e187d8fc3,40.392543994936,-86.8367151520679,13,2049.26
b5ead823-3c19-4d85-b487-03c38faadf38,40.4265409962261,-86.8774069474582,5,782.91
b2adabf9-5f29-49b5-953f-622bf41169b6,40.4212570441518,-86.9264498011142,11,1753.62
485246bf-8717-4ca3-a5ee-36cefac667cc,40.460211,-86.933508,21,5766.15
c75e0b4b-1197-4ad8-9e85-cb47a54ffca1,40.4240921392496,-86.9171948383567,18,2860.27
c3b28356-ec91-45f0-b1ac-5cc5d27bda06,40.4320784170674,-86.8450179305683,34,6094.47
b7b23162-ed2f-4fde-9802-07b56e05c85d,40.4190415393735,-86.86752032444,42,11242.37
f5631747-1e26-43e7-b1b8-b1d1db2e9e39,40.3945422407712,-86.8764815852929,26,5442.64
528a9693-c87a-48d5-9ff7-4a1ddb840396,40.4520648987332,-86.9217492295354,19,5264.71
4aecdd6a-754a-4704-80e5-9b2c34b83cc2,40.442921,-86.942472,33,7597.14
584fc5fd-1f0f-47f0-9bf4-3eb10ec2caeb,40.392677,-86.848871,74,15378.75
3394fb59-008a-448c-ac6c-efd8337ec95a,40.3836108972794,-86.8950666126648,24,4888.97
4aecdd6a-754a-4704-80e5-9b2c34b83cc2,40.4236535980495,-86.8930455680517,5,700.33
a347ba66-c983-4f5f-9910-7f93a4f9e742,40.3943947192666,-86.9002164542804,16,3425.57
d8bebeb5-1c54-4eee-b5b0-cdd545d80539,40.4172873745732,-86.886183135878,6,1081.64
a347ba66-c983-4f5f-9910-7f93a4f9e742,40.384666,-86.9042,29,6233.11
310c2506-8414-40ca-b304-b19618f5ed19,40.45901,-86.937837,46,9783.7
d9ff9ba0-fefa-401f-bbc1-9835e032b962,40.4240411772753,-86.9138018437506,1,287.08
6ac824d4-e5d0-4743-9efa-050a2a7035c9,40.4113731033428,-86.8770448492196,38,8581.46
d8bebeb5-1c54-4eee-b5b0-cdd545d80539,40.4100896662527,-86.8651318171699,16,3645.74
828c66cd-6de9-4f27-b1f7-75fc65645064,40.4157933840628,-86.8313265938357,34,7083.38
022f91d5-beef-4f92-a267-dd9e20ff64e4,40.4334061106089,-86.9244609430111,26,4289.89
8ceebedf-7319-4de2-80f2-ccf2be81656d,40.4274247841492,-86.9289496200651,8,1461.66
b7b23162-ed2f-4fde-9802-07b56e05c85d,40.419079090302,-86.8653396883809,41,11057.84
4aecdd6a-754a-4704-80e5-9b2c34b83cc2,40.427721,-86.91034,17,2850.33
06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,40.4182569931899,-86.8918090696221,29,5272.22
f58e525e-0011-484c-abba-46cf25e978a1,40.4209257913188,-86.901391261899,9,1140.61
