route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
4c8205d4-4504-4d99-8269-f6b39768fbc5,a7badaf7-5e70-48a1-a1e7-16896bd58cef,71f7f46a-e79b-4e21-940c-5bd39d84703c,2f24c6d2-3f4d-4496-aa26-f5d68b553f8c,"Gold Loop from Campus to Purdue Village & Dorms",0,ffd47cef-4813-477a-ac78-525c2a82c9ed
f6f23df7-ffc1-42a7-9d2d-8a383a137929,81ffce56-5294-48f9-b870-e510c336fbb1,ed4589dc-dbd2-4149-bac8-faa67234a0e5,06f74db6-9086-4f2c-8f2c-981b5c5a5a1a,"Tippecanoe Mall to CityBus Center",0,8e42b0b4-8eef-4bb6-8daf-0bc41b79bfb7
e8784ff3-a2c2-45c3-aacb-5231944bc761,81ffce56-5294-48f9-b870-e510c336fbb1,164ce12b-cdf8-4c91-b768-c93249cf86e8,f7679137-7008-44ce-852b-e6e64ff36224,"Happy Hollow from Kalberer & River Rd & PMU",1,ca60faec-fbf6-437f-8a3e-290a1c5d6eb4
89b25b67-87df-413b-82b1-003f39e52665,c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,1d0811ef-4c22-461b-8a98-6e777d6ab697,310c2506-8414-40ca-b304-b19618f5ed19,"Salisbury to Campus & WL Walmart",1,f2495e12-00c6-48a3-bbd5-81a1c5515583
64ba5592-c5b9-48ef-8e9e-9ed499b067ed,c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,e30b1220-9d07-40d2-a7ae-629fa7238520,d9ff9ba0-fefa-401f-bbc1-9835e032b962,"Purdue to Northwestern, Yeager & Shining Armor",0,f570214d-6055-4e78-a6f3-7629bbc72121
89b25b67-87df-413b-82b1-003f39e52665,81ffce56-5294-48f9-b870-e510c336fbb1,67dfac16-de50-4556-bc03-b8cf8f0d10b3,310c2506-8414-40ca-b304-b19618f5ed19,"Salisbury to Campus & WL Walmart",1,1cbe32c7-2c9d-488d-9e83-2950eaaf9b4a
4c8205d4-4504-4d99-8269-f6b39768fbc5,a7badaf7-5e70-48a1-a1e7-16896bd58cef,16e4d2d3-f5c3-4ffb-b6dc-733ff7a5cc7c,2f24c6d2-3f4d-4496-aa26-f5d68b553f8c,"Gold Loop from Campus to Purdue Village & Dorms",0,ac0c4478-97e3-4c5c-9206-d6eb5003f04e
f87f7512-b0fb-4296-92e6-4cfd19a2ef0a,c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,bd6f55bf-f537-427b-91cb-47c779116ebd,260931e0-53bc-4a75-a9d1-b36078bf965e,"S 9th St to Beck Ln",1,f072c853-cfef-441c-a737-2366ae4cc43b
e8784ff3-a2c2-45c3-aacb-5231944bc761,b71be945-f50e-4364-bf1f-6b7bc90a7769,643e4473-7dff-4083-be6c-8ee4a41152de,f7679137-7008-44ce-852b-e6e64ff36224,"Happy Hollow from Kalberer & River Rd & PMU",1,9a80a791-dac2-4b01-a3eb-0d7262ab41af
43c32665-1947-4a28-8041-3f68feab4a2e,a7badaf7-5e70-48a1-a1e7-16896bd58cef,0a39e348-4fb0-4053-a716-0b152d8d6bf1,9daca57c-6552-4bc9-ad4e-ada819b856c3,"Tower Acres Loop from Campus to Tower Acres",1,56c68a2f-c47a-4076-8711-5ca8d9559c21
87f0662c-8578-408d-b29b-89bc2e64cce9,db65d240-3584-4366-8c42-faf0370442cd,d248be6b-33bc-491e-89da-16975f0787ce,addcc1e5-06e9-4561-94bc-08c43323e2f6,"4th Street to CityBus Center",1,d5e30153-e13c-4d17-8b4f-1872ba695929
efb80edd-b57f-498f-9b39-a54091b381ce,a7badaf7-5e70-48a1-a1e7-16896bd58cef,c9a5ab03-43f8-43ca-a302-7a1ea6c4ebfb,4a0b5f4f-a628-43d4-adbe-3e4c971f883c,"Ross Ade Loop to/from Ross Ade Lot & Campus",0,f56601da-c8b3-4184-8f2d-b2613fa087a1
f6a80665-963c-4b8a-bea8-41271dc09bab,f1eabeb2-f736-4baa-b241-725acb8c3e78,f955b9ba-ecb2-4b81-bb39-5e8698f6ff9f,9bde8dbc-c065-4027-9a41-f1810f2fb8f8,"Schuyler to CityBus Center",1,2fc18eb1-2099-4835-9ed2-0e840a8b92e5
530043d6-a2a6-43f9-be35-b11cf91743bc,c2268ce8-2e2c-4ab3-a9c0-8720c84ad706,de75ad42-9152-4d31-879a-59f3ff43d964,c3b28356-ec91-45f0-b1ac-5cc5d27bda06,"Market Square to Tippecanoe Mall",0,a845bd0d-bd23-4a81-9249-1a1024c065e4
5dda9dcd-6fde-4700-9d66-5d3d73872adc,b71be945-f50e-4364-bf1f-6b7bc90a7769,d9636597-35dd-4b04-af84-ffdcdaf9a65a,61d36eea-381d-428b-ae26-f2d758f9c323,"Purdue West to Campus & CityBus Center",1,66b1af6b-a6a3-4b2d-b2a4-f3bd7178c2b5
4c8205d4-4504-4d99-8269-f6b39768fbc5,b71be945-f50e-4364-bf1f-6b7bc90a7769,728a9899-10da-4e91-b9e6-05dd889b424d,2f24c6d2-3f4d-4496-aa26-f5d68b553f8c,"Gold Loop from Campus to Purdue Village & Dorms",0,21425d48-598c-47f3-9e49-f4a05d20c196
6cfac98b-118b-4cea-985f-010d6a53d05b,a3c2dfaa-9e17-4e52-a6a6-15f5d18690f8,a7d7d4e7-ee82-4f79-b97b-9a2067be310f,0428a67a-0ab2-456c-8003-cc3a09250507,"Black Loop from Tower Acres to Campus",0,54fa3851-799a-4923-9d7b-aec9c3509f54
f9f6f42f-13ff-4326-8592-5e205b0eeb6b,b71be945-f50e-4364-bf1f-6b7bc90a7769,337960c7-ed46-4022-b853-44a4b1711581,fbdfcfea-3655-4b8d-9f1d-54ff2f64bbc8,"South St to CityBus Center",0,1825d0d4-ca9e-4bb6-8bf7-2f43cd2b157a
